DESCRIPTION,VIDEOA,VIDEOB,VIDEOC
spin the knife,https://s3.amazonaws.com/voxsim-videos/video/spin_the_knife/spin_the_knife-2017-03-17-011950.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_knife/spin_the_knife-2017-03-17-011954.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_knife/spin_the_knife-2017-03-17-012001.mp4
spin the pencil,https://s3.amazonaws.com/voxsim-videos/video/spin_the_pencil/spin_the_pencil-2017-03-17-012008.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_pencil/spin_the_pencil-2017-03-17-012015.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_pencil/spin_the_pencil-2017-03-17-012022.mp4
spin the paper sheet,https://s3.amazonaws.com/voxsim-videos/video/spin_the_paper_sheet/spin_the_paper_sheet-2017-03-17-012028.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_paper_sheet/spin_the_paper_sheet-2017-03-17-012038.mp4,https://s3.amazonaws.com/voxsim-videos/video/spin_the_paper_sheet/spin_the_paper_sheet-2017-03-17-012046.mp4
flip the block on edge,https://s3.amazonaws.com/voxsim-videos/video/flip_the_block_on_edge/flip_the_block_on_edge-2017-03-17-012328.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_block_on_edge/flip_the_block_on_edge-2017-03-17-012335.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_block_on_edge/flip_the_block_on_edge-2017-03-17-012341.mp4
flip the book on edge,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_on_edge/flip_the_book_on_edge-2017-03-17-012347.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_on_edge/flip_the_book_on_edge-2017-03-17-012740.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_on_edge/flip_the_book_on_edge-2017-03-17-012752.mp4
flip the blackboard on edge,https://s3.amazonaws.com/voxsim-videos/video/flip_the_blackboard_on_edge/flip_the_blackboard_on_edge-2017-03-17-012954.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_blackboard_on_edge/flip_the_blackboard_on_edge-2017-03-17-013022.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_blackboard_on_edge/flip_the_blackboard_on_edge-2017-03-17-013028.mp4
flip the plate at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_plate_at_center/flip_the_plate_at_center-2017-03-17-090836.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_plate_at_center/flip_the_plate_at_center-2017-03-17-090844.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_plate_at_center/flip_the_plate_at_center-2017-03-17-090850.mp4
flip the cup at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_cup_at_center/flip_the_cup_at_center-2017-03-17-090857.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_cup_at_center/flip_the_cup_at_center-2017-03-17-090903.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_cup_at_center/flip_the_cup_at_center-2017-03-17-090909.mp4
flip the disc at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_disc_at_center/flip_the_disc_at_center-2017-03-17-090916.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_disc_at_center/flip_the_disc_at_center-2017-03-17-090922.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_disc_at_center/flip_the_disc_at_center-2017-03-17-090929.mp4
flip the book at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_at_center/flip_the_book_at_center-2017-03-17-090935.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_at_center/flip_the_book_at_center-2017-03-17-090941.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_book_at_center/flip_the_book_at_center-2017-03-17-090948.mp4
flip the bottle at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bottle_at_center/flip_the_bottle_at_center-2017-03-17-092501.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bottle_at_center/flip_the_bottle_at_center-2017-03-17-092508.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bottle_at_center/flip_the_bottle_at_center-2017-03-17-092514.mp4
flip the grape at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_grape_at_center/flip_the_grape_at_center-2017-03-17-092521.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_grape_at_center/flip_the_grape_at_center-2017-03-17-092530.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_grape_at_center/flip_the_grape_at_center-2017-03-17-092537.mp4
flip the apple at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_apple_at_center/flip_the_apple_at_center-2017-03-17-092543.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_apple_at_center/flip_the_apple_at_center-2017-03-17-092549.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_apple_at_center/flip_the_apple_at_center-2017-03-17-092555.mp4
flip the banana at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_banana_at_center/flip_the_banana_at_center-2017-03-17-092601.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_banana_at_center/flip_the_banana_at_center-2017-03-17-092609.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_banana_at_center/flip_the_banana_at_center-2017-03-17-092615.mp4
flip the bowl at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bowl_at_center/flip_the_bowl_at_center-2017-03-17-092622.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bowl_at_center/flip_the_bowl_at_center-2017-03-17-092638.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_bowl_at_center/flip_the_bowl_at_center-2017-03-17-092644.mp4
flip the knife at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_knife_at_center/flip_the_knife_at_center-2017-03-17-092650.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_knife_at_center/flip_the_knife_at_center-2017-03-17-092657.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_knife_at_center/flip_the_knife_at_center-2017-03-17-092703.mp4
flip the pencil at center,https://s3.amazonaws.com/voxsim-videos/video/flip_the_pencil_at_center/flip_the_pencil_at_center-2017-03-17-092709.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_pencil_at_center/flip_the_pencil_at_center-2017-03-17-092715.mp4,https://s3.amazonaws.com/voxsim-videos/video/flip_the_pencil_at_center/flip_the_pencil_at_center-2017-03-17-092722.mp4
